Level	ID
genus	Bos
species	Felis catus
species	Canis lupus
species	Cervus elaphus
genus	Capra
family	Suidae
family	Bovidae
family	Canidae
family	Felidae
family	Hominidae
class	Aves
class	Lepidosauria
class	Amphibia
order	Primates
order	Rodentia
phylum	Proteobacteria
phylum	Candidatus Saccharibacteria
phylum	Planctomycetes
phylum	Bacteroidetes
kingdom	Fungi
phylum	Firmicutes
phylum	Amoebozoa
phylum	Bacteroidota
phylum	Pseudomonadota
phylum	Campylobacterota
phylum	Chlamydiota
phylum	Candidatus Aminicenantes
phylum	Actinomycetota
phylum	Chloroflexota
phylum	Thermodesulfobacteriota
class	Deltaproteobacteria
phylum	Fusobacteriota
phylum	Planctomycetota
phylum	Discosea
class	Chlorodendrophyceae
class	Trebouxiophyceae
class	Chlorophyceae
class	Mamiellophyceae
